Row,OurBid,ExchangeBid,FairValue,ExchangeAsk,OurAsk,Position,Comment,Owner
No Publisher Yet,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,No Publisher Yet,No Publisher Yet
IGLS LN,132.6361353,132.7,132.7024865,132.76,132.7688377,0,Both use PCF - 20k shares,ROB
IGLT LN,14.29090348,14.29,14.29662213,14.305,14.30234078,0,6.38469399006025E-04,ROB
IGLT IM,16.77926909,16.78,16.78598348,16.802,16.79269788,0,,ROB
IGLT SW,14.29090348,14.29,14.29662213,14.306,14.30234078,0,,ROB
INXG LN,22.59236869,22.595,22.61951211,22.64,22.64665552,-5808,Both use PCF - 250k shares,ROB
INXG IM,26.4996468,26.53,26.55807456,26.595,26.61650233,0,,ROB
IAAA LN,97.12752087,97.21,97.37094824,97.61,97.61437561,0,NAV+ only,ROB
SAAA LN,73.09966198,73.17,73.28286915,73.46,73.46607632,0,,ROB
IS0Z GY,85.83202622,86.028,86.04714408,86.198,86.26226194,0,,ROB
IAAA SW,97.12752087,97.21,97.37094824,97.63,97.61437561,0,,ROB
GAAA LN,5.406609095,5.415,5.422877728,5.437,5.436434923,0,"separate c/r files (which are the same) - ~500k shares, only market trade enabled",ROB
OM3H GR,4.777844729,4.741,4.792221393,4.927,4.804201947,0,,ROB
TIP5 LN,5.217952226,5.22,5.22212993,5.227,5.226307634,0,"7bps to redeem 28/09 around 1.8bps to trade bonds, 19 lines in Cr/Rd files",ROB
TI5MX IX,5088.625949,5087,5092.700109,5102,5096.774269,0,"separate c/r files (which are the same) - ~385k shares, only market trade enabled",ROB
TP05 LN,392.711088,392.8501,393.0255084,393.3999,393.3399288,0,"separate c/r files (which are the same) - ~385k shares, only market trade enabled",ROB
SXRH GY,4.611127807,4.6124,4.614819663,4.6193,4.618511518,0,,ROB
TIP5 SW,5.217952226,5.219,5.22212993,5.227,5.226307634,0,,ROB
TI5G LN,5.09862315,5.095,5.102705315,5.104,5.106787479,0,"separate c/r files (which are the same) - 20k shares, only market trade enabled",ROB
OM3B GR,5.986407362,5.93,5.991200322,6.15,5.995993283,0,,ROB
IDTP LN,256.27838,257.5801,257.8253319,258.27,259.3722839,0,,ROB
ITPS LN,192.8790396,194.09,194.0432994,194.37,195.2075592,0,,ROB
ITPS IM,226.4743549,228,227.8414033,228.31,229.2084517,0,,ROB
IUST GY,226.4743549,227.64,227.8414033,228.23,229.2084517,0,"separate c/r files (which are the same) - 640k shares, only market trade enabled - same as ITPS",ROB
TPSA NA,226.4743549,227.82,227.8414033,228.15,229.2084517,0,,ROB
ITPS SW,256.27838,257.5,257.8253319,258.1499,259.3722839,0,Both use PCF - 20k shares,ROB
ITPG LN,5.628116745,5.653,5.662089281,5.665,5.696061816,0,,ROB
ITPG SW,6.873615956,6.904005862,6.915106596,6.918661456,6.956597235,0,,ROB
IBC5 GY,5.90032475,5.9182,5.935940393,5.9306,5.971556035,0,"28/9 priced up at 5bps for long end, b/e 4bps say, need to be quick",ROB
ITPE SW,6.134031344,6.153566814,6.171057691,6.166459962,6.208084037,0,,ROB
IBCI LN,203.9453479,204.01,204.1494974,204.31,204.3536469,0,"17,500 per basket, cost less than 1bps",ROB
IBCI IM,239.4726275,239.55,239.7123398,240,239.9520522,0,be aggressive,ROB
IBCI NA,239.4726275,239.4,239.7123398,239.97,239.9520522,0,,ROB
IBCI SW,248.9579244,248.95,249.2071315,249.6,249.4563387,0,,ROB
IBCI GY,239.4726275,239.44,239.7123398,239.98,239.9520522,0,,ROB
IEGE IM,97.04587251,97.07,97.06528556,97.1,97.08469862,0,-2.16451095284231E-04,ROB
IBGE LN,82.64850324,82.66,82.66503625,82.71,82.68156926,0,,ROB
IEGE NA,97.04587251,97.07,97.06528556,97.1,97.08469862,0,,ROB
EUN6 GY,97.04587251,97.066,97.06528556,97.108,97.08469862,0,,ROB
IEGE SW,97.04587251,97.072,97.06528556,97.106,97.08469862,0,,ROB
IEGMX IX,6069.056358,6068,6072.092404,6090,6075.128451,0,6072.09193850361,ROB
IEGMX LN,6069.056358,6068,6072.092404,6090,6075.128451,0,,ROB
IBGS IM,143.1583033,143.16,143.1869407,143.2,143.2155781,0,,ROB
IBGS LN,121.9076687,121.9,121.944252,121.99,121.9808353,0,,ROB
IBGS NA,143.1583033,143.16,143.1869407,143.2,143.2155781,0,,ROB
IBCA GY,143.1583033,143.175,143.1869407,143.2,143.2155781,0,,ROB
IBGS SW,148.8286759,148.82,148.8584475,148.92,148.8882192,0,,ROB
IBGX LN,148.0651399,148.05,148.1095728,148.15,148.1540057,0,,ROB
IBGX IM,173.8580873,173.91,173.9102604,173.94,173.9624335,0,,ROB
IBGX NA,173.8580873,173.89,173.9102604,173.95,173.9624335,0,,ROB
IBCN GY,173.8580873,173.9,173.9102604,173.935,173.9624335,0,,ROB
IBGX SW,180.7444509,180.72,180.7986905,180.94,180.8529301,0,,ROB
IBGY IM,164.3959553,164.43,164.46174,164.53,164.5275247,0,,ROB
IBGY LN,140.0067751,140.02,140.0628002,140.15,140.1188253,0,,ROB
IEGY NA,164.3959553,164.42,164.46174,164.52,164.5275247,0,,ROB
EUN9 GY,164.3959553,164.415,164.46174,164.485,164.5275247,0,,ROB
