,0
IEAC LN,DARREN
IEAC IM,DARREN
IEAC NA,DARREN
IBCX LN,DARREN
IBCX IM,DARREN
IBCX NA,DARREN
IBCS GY,DARREN
EUN5 GY,DARREN
IEAA LN,DARREN
XBLC GY,DARREN
XBLC LN,DARREN
XBLC IM,DARREN
IEXF IM,DARREN
EUNR GY,DARREN
IE15 LN,DARREN
SE15 IM,DARREN
EUNT GY,DARREN
EUNS GY,DARREN
IS3B GY,DARREN
IS3B GR,DARREN
ICOV IM,DARREN
ICOV NA,DARREN
IUS6 GY,DARREN
ERNE LN,DARREN
ERNE IM,DARREN
ERNE NA,DARREN
IS3M GY,DARREN
IEBB IM,DARREN
IEBB SW,DARREN
IS06 GY,DARREN
SUSE IM,DARREN
QDVL GY,DARREN
SUOE LN,DARREN
SUOE IM,DARREN
OM3F GY,DARREN
SEUC LN,DARREN
SEUC IM,DARREN
EUCR IM,DARREN
SPPR GY,DARREN
EUCO FP,DARREN
EUCO IM,DARREN
SYBC GY,DARREN
SYBD GY,DARREN
CC4 FP,DARREN
CC4 IM,DARREN
TCC4 GY,DARREN
CBBB FP,DARREN
CAB3 GY,DARREN
AFRN FP,DARREN
AFRN IM,DARREN
FRNE GY,DARREN
CRP FP,DARREN
ETFIBOXG GY,DARREN
ETFLCD GY,DARREN
EFQ8 GY,DARREN
XB4F GY,DARREN
XB4F IM,DARREN
XDEP GY,DARREN
ECB FP,DARREN
CNB FP,DARREN
CBEF IM,DARREN
LYCNB SW,DARREN
LYBF GR,DARREN
CRPE IM,DARREN
LYCRP SW,DARREN
FLOT IM,DARREN
NK4L GY,DARREN
FLOT FP,DARREN
XZE5 IM,DARREN
XZE5 GR,DARREN
XGBE GY,DARREN
CBEU5 IM,DARREN
CBEU5 SW,DARREN
UEF6 GY,DARREN
UEF6 NA,DARREN
PSFE IM,DARREN
PSFE GY,DARREN
UEFR NA,DARREN
UEFR GY,DARREN
CBSEU IM,DARREN
CBSE NA,DARREN
CBSEU SW,DARREN
EHYB IM,DARREN
EHYB SW,DARREN
EHBD GY,DARREN
SRIC FP,DARREN
ASRI GY,DARREN
ECRP FP,DARREN
ECRP IM,DARREN
ECRP3 IM,DARREN
ECRP3 FP,DARREN
SRIC5 FP,DARREN
SRIC5 IM,DARREN
CHCORP SW,DARREN
SLXX LN,DARREN
IS15 LN,DARREN
ISXF LN,DARREN
ERNS LN,DARREN
UKCO LN,DARREN
SUKC LN,DARREN
LQDE LN,DARREN
LQDE SW,DARREN
LQDA LN,DARREN
CORP LN,DARREN
ERND LN,DARREN
SDIG LN,DARREN
SDIA LN,DARREN
SLQD US,DARREN
SUSU LN,DARREN
ICBU LN,DARREN
XDGU LN,DARREN
FLOT LN,DARREN
SUSC LN,DARREN
LUSC LN,DARREN
USCR LN,DARREN
XZBD LN,DARREN
IUCB LN,DARREN
AFLT FP,DARREN
USIG LN,DARREN
UC97 LN,DARREN
PUIG LN,DARREN
AT1 LN,DARREN
LQDH LN,DARREN
IRCP LN,DARREN
IRCP IM,DARREN
IRCP NA,DARREN
IS0Y GY,DARREN
LQD US,DARREN
AGG US,DARREN
IUAA LN,DARREN
GCVB LN,DARREN
MINT LN,DARREN
LDCU LN,DARREN
QUID LN,DARREN
UESD LN,DARREN
COVR GY,DARREN
PJS1 GY,DARREN
LDCE GY,DARREN
AFIN FP,DARREN
AFIN IM,DARREN
AFIN SW,DARREN
AFIN GY,DARREN
ETFCOR IM,DARREN
PR1C GY,DARREN
ECR1 GY,DARREN
XLIQ GY,DARREN
XBCD GY,ROB
ELFF GY,DARREN
CBESG SW,DARREN
ES15 LN,DARREN
SSXF LN,DARREN
LQDE IM,DARREN
LQDA NA,DARREN
IBCD GY,DARREN
LQEE LN,DARREN
CORP IM,DARREN
LQDG LN,DARREN
IS3F GY,DARREN
ERNU LN,DARREN
ERND NA,DARREN
IS3L GY,DARREN
IGSD LN,DARREN
SDIG NA,DARREN
IS3J GY,DARREN
SEUC SW,DARREN
SPPU GY,DARREN
SYBR GY,DARREN
SXRF GY,DARREN
IBCX SW,DARREN
IEXF SW,DARREN
EUCO SW,DARREN
SDMXX IX,DARREN
ieasx ix,DARREN
SE15 LN,DARREN
SE15 SW,DARREN
IECF SW,DARREN
IRCP SW,DARREN
ERN1 LN,DARREN
ERNE SW,DARREN
SUSS LN,DARREN
USIX LN,DARREN
QDVY GY,DARREN
SUOG LN,DARREN
SYBS GY,DARREN
SYBQ GY,DARREN
SUSD LN,DARREN
SUSC IM,DARREN
SUSC SW,DARREN
SYBF GY,DARREN
USFRN IM,DARREN
FRNU GY,DARREN
AFLE FP,DARREN
HFRN IM,DARREN
FRNH GY,DARREN
COUK FP,DARREN
ZPRC GY,DARREN
MINT IM,DARREN
PJSB GR,DARREN
LDCC SW,DARREN
PRIC LN,DARREN
XDGU GY,DARREN
XDGU IM,DARREN
XDGE GY,DARREN
XZBU GR,DARREN
XZBU LN,DARREN
XYLD LN,DARREN
XYLD IM,DARREN
XYLD GR,DARREN
XYLD SW,DARREN
XYLE GR,DARREN
XZE5 LN,DARREN
XZE5 SW,DARREN
UC98 LN,DARREN
CBSUS IM,DARREN
UE25 NA,DARREN
CBSUS SW,DARREN
CBSUST SW,DARREN
CBSUSE IM,DARREN
CBSUSE SW,DARREN
CBSUSH SW,DARREN
UC81 LN,DARREN
UC86 LN,DARREN
CBUS5 IM,DARREN
UEF7 NA,DARREN
UEF7 GY,DARREN
UEF8 NA,DARREN
UEF8 GY,DARREN
CBUS5 SW,DARREN
CBUS5E SW,DARREN
